2022.11.17 10:23:48 INFO  web[][DbMigrations] #6600 'Add column 'webhook_secret' to 'alm_settings'': success | time=56ms
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6601 'Drop non unique index on 'uuid' in 'components''...
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6601 'Drop non unique index on 'uuid' in 'components'': success | time=18ms
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6602 'Add unique index on 'uuid' in 'components''...
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6602 'Add unique index on 'uuid' in 'components'': success | time=22ms
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6603 'Drop index for 'project_uuid' in 'components''...
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6603 'Drop index for 'project_uuid' in 'components'': success | time=32ms
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6604 'Rename column 'project_uuid' to 'branch_uuid' in 'components''...
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6604 'Rename column 'project_uuid' to 'branch_uuid' in 'components'': success | time=123ms
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6605 'Create index for 'branch_uuid' in 'components''...
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6605 'Create index for 'branch_uuid' in 'components'': success | time=28ms
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6606 'Drop index for 'kee' in 'components''...
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6606 'Drop index for 'kee' in 'components'': success | time=19ms
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6607 'Fix copy component UUID'...
